transaction_id,date,customer_id
1,2024-01-15,1
2,2024-01-15,1
3,2024-01-15,1
4,2024-01-15,2
5,2024-01-16,3
6,2024-01-16,3
7,2024-01-16,4
8,2024-01-16,4
9,2024-01-17,5
10,2024-01-17,5
11,2024-01-18,6
12,2024-01-18,6
13,2024-01-18,6
14,2024-01-19,7
15,2024-01-19,7
16,2024-01-20,8
17,2024-01-21,1
18,2024-01-22,9
19,2024-01-22,9
20,2024-01-23,10
21,2024-01-23,3
22,2024-01-24,4
23,2024-01-24,4
24,2024-01-25,2
25,2024-01-25,2
26,2024-01-25,2
27,2024-01-26,5
28,2024-01-27,11
29,2024-01-28,1
30,2024-01-29,12
31,2024-01-30,6
32,2024-01-31,3
33,2024-01-31,3
34,2024-02-01,13
35,2024-02-02,7
36,2024-02-03,8
37,2024-02-04,9
38,2024-02-05,10
39,2024-02-05,10
40,2024-02-06,1
41,2024-02-07,2
42,2024-02-08,5
43,2024-02-09,6
44,2024-02-10,4
45,2024-02-11,3
46,2024-02-11,3
47,2024-02-12,7
48,2024-02-13,8
49,2024-02-13,8
50,2024-02-14,9
51,2024-02-15,10
52,2024-02-16,1
53,2024-02-17,2
54,2024-02-18,5
55,2024-02-19,6
56,2024-02-19,6
57,2024-02-20,4
58,2024-02-21,3
59,2024-02-22,7
60,2024-02-23,8
61,2024-02-23,8
62,2024-02-24,9
63,2024-02-25,10
64,2024-02-26,1
65,2024-02-27,2
66,2024-02-28,5
67,2024-03-01,6
68,2024-03-02,4
69,2024-03-03,3
70,2024-03-04,7
71,2024-03-05,8
72,2024-03-06,9
73,2024-03-07,10
74,2024-03-08,1
75,2024-03-09,2
76,2024-03-09,2
77,2024-03-10,5
78,2024-03-11,6
79,2024-03-12,4
80,2024-03-13,3
81,2024-03-14,7
82,2024-03-15,8
83,2024-03-16,9
84,2024-03-16,9
85,2024-03-17,10
86,2024-03-18,1
87,2024-03-19,2
88,2024-03-20,5
89,2024-03-21,6
90,2024-03-22,4
91,2024-03-23,3
92,2024-03-24,7
93,2024-03-25,8
94,2024-03-26,9
95,2024-03-27,10
96,2024-03-28,1
97,2024-03-29,2
98,2024-03-30,5
99,2024-03-31,6
100,2024-04-01,4
101,2024-04-02,3
102,2024-04-03,7
103,2024-04-04,8
